date,state,fips,cases,deaths
2020-03-01,Florida,12,2,0
2020-03-02,Florida,12,2,0
2020-03-03,Florida,12,3,0
2020-03-04,Florida,12,3,0
2020-10-09,Florida,12,728913,15185
2020-10-10,Florida,12,728913,15185
2020-11-25,Florida,12,961668,18253
2020-11-26,Florida,12,961668,18253
2020-12-24,Florida,12,1247538,20994
2020-12-25,Florida,12,1247538,20994
2020-12-31,Florida,12,1323307,21672
2021-01-01,Florida,12,1323307,21672
2021-05-28,Florida,12,2320810,36773
2021-05-29,Florida,12,2320810,36773
2021-05-30,Florida,12,2320810,36773
2021-05-31,Florida,12,2320810,36773
2021-06-04,Florida,12,2289332,36985
2021-06-05,Florida,12,2289332,36985
2021-06-06,Florida,12,2289332,36985
2021-06-11,Florida,12,2300786,37265
2021-06-12,Florida,12,2300786,37265
2021-06-18,Florida,12,2310881,37555
2021-06-19,Florida,12,2310881,37555
2021-06-20,Florida,12,2310881,37555
2021-06-25,Florida,12,2321929,37772
2021-06-26,Florida,12,2321929,37772
2021-06-27,Florida,12,2321929,37772
2021-06-28,Florida,12,2321929,37772
2021-07-02,Florida,12,2337613,37985
2021-07-03,Florida,12,2337613,37985
2021-07-04,Florida,12,2337613,37985
2021-07-05,Florida,12,2337613,37985
2021-07-06,Florida,12,2337613,37985
2021-07-09,Florida,12,2361360,38157
2021-07-10,Florida,12,2361360,38157
2021-07-11,Florida,12,2361360,38157
2021-07-12,Florida,12,2361360,38157
2021-07-17,Florida,12,2406809,38395
2021-07-18,Florida,12,2406809,38395
2021-07-19,Florida,12,2406809,38395
2021-07-23,Florida,12,2479975,38670
2021-07-24,Florida,12,2479975,38670
2021-07-25,Florida,12,2479975,38670
2021-07-26,Florida,12,2479975,38670
2021-07-30,Florida,12,2590699,39079
2021-07-31,Florida,12,2590699,39079
2021-08-01,Florida,12,2590699,39079
2021-08-02,Florida,12,2590699,39079
2021-08-06,Florida,12,2725450,39695
2021-08-07,Florida,12,2725450,39695
2021-08-08,Florida,12,2725450,39695
2021-08-14,Florida,12,2877393,40766
2021-08-15,Florida,12,2877393,40766
2021-08-21,Florida,12,3040590,42252
2021-08-22,Florida,12,3040590,42252
2021-08-28,Florida,12,3200682,43979
2021-08-29,Florida,12,3200682,43979
2021-09-03,Florida,12,3308916,46324
2021-09-04,Florida,12,3308916,46324
2021-09-05,Florida,12,3308916,46324
2021-09-06,Florida,12,3308916,46324
2021-09-11,Florida,12,3418160,48772
2021-09-12,Florida,12,3418160,48772
2021-09-18,Florida,12,3494954,51240
2021-09-19,Florida,12,3494954,51240
2021-09-25,Florida,12,3546292,53580
2021-09-26,Florida,12,3546292,53580
2021-10-09,Florida,12,3604846,56667
2021-10-10,Florida,12,3604846,56667
2021-10-11,Florida,12,3604846,56667
2021-10-16,Florida,12,3623046,57859
2021-10-17,Florida,12,3623046,57859
2021-10-22,Florida,12,3635126,58803
2021-10-23,Florida,12,3635126,58803
2021-10-24,Florida,12,3635126,58803
2021-10-30,Florida,12,3648943,59670
2021-10-31,Florida,12,3648943,59670
2021-11-06,Florida,12,3659255,60334
2021-11-07,Florida,12,3659255,60334
2021-11-10,Florida,12,3664403,60418
2021-11-11,Florida,12,3664403,60418
2021-11-13,Florida,12,3669489,60698
2021-11-14,Florida,12,3669489,60698
2021-11-20,Florida,12,3679548,61081
2021-11-21,Florida,12,3679548,61081
2021-11-24,Florida,12,3684332,61147
2021-11-25,Florida,12,3684332,61147
2021-11-26,Florida,12,3684332,61147
2021-11-27,Florida,12,3684332,61147
2021-12-04,Florida,12,3699624,61701
2021-12-05,Florida,12,3699624,61701
2021-12-11,Florida,12,3713214,62026
2021-12-12,Florida,12,3713214,62026
2021-12-18,Florida,12,3748148,62220
2021-12-19,Florida,12,3748148,62220
2021-12-24,Florida,12,3864213,62347
2021-12-25,Florida,12,3864213,62347
2021-12-26,Florida,12,3864213,62347
2021-12-31,Florida,12,4166392,62504
2022-01-01,Florida,12,4166392,62504
2022-01-02,Florida,12,4166392,62504
2022-01-03,Florida,12,4166392,62504
2022-01-08,Florida,12,4633077,62688
2022-01-09,Florida,12,4633077,62688
2022-01-15,Florida,12,5041918,63158
2022-01-16,Florida,12,5041918,63158
2022-01-17,Florida,12,5041918,63158
2022-01-22,Florida,12,5303818,63763
2022-01-23,Florida,12,5303818,63763
2022-01-29,Florida,12,5501599,64955
2022-01-30,Florida,12,5501599,64955
2022-02-05,Florida,12,5629602,66279
2022-02-06,Florida,12,5629602,66279
2022-02-12,Florida,12,5741771,67572
2022-02-13,Florida,12,5741771,67572
2022-02-19,Florida,12,5780682,68902
2022-02-20,Florida,12,5780682,68902
2022-02-21,Florida,12,5780682,68902
2022-02-26,Florida,12,5803337,69790
2022-02-27,Florida,12,5803337,69790
2022-03-05,Florida,12,5816275,70997
2022-03-06,Florida,12,5816275,70997
2022-03-11,Florida,12,5824728,71860
2022-03-12,Florida,12,5824728,71860
2022-03-13,Florida,12,5824728,71860
2022-03-19,Florida,12,5834058,72704
2022-03-20,Florida,12,5834058,72704
2022-03-25,Florida,12,5841469,73027
2022-03-26,Florida,12,5841469,73027
2022-03-27,Florida,12,5841469,73027
2022-04-02,Florida,12,5853175,73290
2022-04-03,Florida,12,5853175,73290
2022-04-09,Florida,12,5864866,73555
2022-04-10,Florida,12,5864866,73555
2022-04-15,Florida,12,5878404,73689
2022-04-16,Florida,12,5878404,73689
2022-04-17,Florida,12,5878404,73689
2022-04-22,Florida,12,5899188,73830
2022-04-23,Florida,12,5899188,73830
2022-04-24,Florida,12,5899188,73830
2022-04-29,Florida,12,5925668,73948
2022-04-30,Florida,12,5925668,73948
2022-05-01,Florida,12,5925668,73948
2022-05-07,Florida,12,5964125,74085
2022-05-08,Florida,12,5964125,74085
2022-05-13,Florida,12,5997998,74178
2022-05-14,Florida,12,5997998,74178
2022-05-15,Florida,12,5997998,74178
2022-05-21,Florida,12,6067606,74330
2022-05-22,Florida,12,6067606,74330
2022-05-27,Florida,12,6125115,74466
2022-05-28,Florida,12,6125115,74466
2022-05-29,Florida,12,6125115,74466
2022-05-30,Florida,12,6125115,74466
2022-06-04,Florida,12,6208047,74667
2022-06-05,Florida,12,6208047,74667
2022-06-11,Florida,12,6282014,74886
2022-06-12,Florida,12,6282014,74886
2022-06-17,Florida,12,6345663,75096
2022-06-18,Florida,12,6345663,75096
2022-06-19,Florida,12,6345663,75096
2022-06-20,Florida,12,6345663,75096
2022-06-25,Florida,12,6430582,75574
2022-06-26,Florida,12,6430582,75574
2022-07-01,Florida,12,6493977,75891
2022-07-02,Florida,12,6493977,75891
2022-07-03,Florida,12,6493977,75891
2022-07-04,Florida,12,6493977,75891
2022-07-08,Florida,12,6561833,76193
2022-07-09,Florida,12,6561833,76193
2022-07-10,Florida,12,6561833,76193
2022-07-15,Florida,12,6640046,76662
2022-07-16,Florida,12,6640046,76662
2022-07-17,Florida,12,6640046,76662
2022-07-22,Florida,12,6716112,77098
2022-07-23,Florida,12,6716112,77098
2022-07-24,Florida,12,6716112,77098
2022-07-29,Florida,12,6789498,77565
2022-07-30,Florida,12,6789498,77565
2022-07-31,Florida,12,6789498,77565
2022-08-01,Florida,12,6815107,77734
2022-08-02,Florida,12,6815107,77734
2022-08-05,Florida,12,6855234,78047
2022-08-06,Florida,12,6855234,78047
2022-08-07,Florida,12,6855234,78047
2022-08-12,Florida,12,6909416,78559
2022-08-13,Florida,12,6909416,78559
2022-08-14,Florida,12,6909416,78559
2022-08-19,Florida,12,6954834,79017
2022-08-20,Florida,12,6954834,79017
2022-08-21,Florida,12,6954834,79017
2022-08-26,Florida,12,6998561,79573
2022-08-27,Florida,12,6998561,79573
2022-08-28,Florida,12,6998561,79573
2022-09-02,Florida,12,7037431,80027
2022-09-03,Florida,12,7037431,80027
2022-09-04,Florida,12,7037431,80027
2022-09-05,Florida,12,7037431,80027
2022-09-06,Florida,12,7051414,80209
2022-09-07,Florida,12,7051414,80209
2022-09-09,Florida,12,7066234,80386
2022-09-10,Florida,12,7066234,80386
2022-09-11,Florida,12,7066234,80386
2022-09-16,Florida,12,7089180,80782
2022-09-17,Florida,12,7089180,80782
2022-09-18,Florida,12,7089180,80782
2022-09-23,Florida,12,7106653,81139
2022-09-24,Florida,12,7106653,81139
2022-09-25,Florida,12,7106653,81139
2022-09-30,Florida,12,7118498,81416
2022-10-01,Florida,12,7118498,81416
2022-10-02,Florida,12,7118498,81416
2022-10-07,Florida,12,7129245,81661
2022-10-08,Florida,12,7129245,81661
2022-10-09,Florida,12,7129245,81661
2022-10-10,Florida,12,7129245,81661
2022-10-14,Florida,12,7139149,81910
2022-10-15,Florida,12,7139149,81910
2022-10-16,Florida,12,7139149,81910
2022-10-19,Florida,12,7145833,82065
2022-10-20,Florida,12,7145833,82065
2022-10-21,Florida,12,7149300,82176
2022-10-22,Florida,12,7149300,82176
2022-10-23,Florida,12,7149300,82176
2022-10-24,Florida,12,7149300,82176
2022-10-25,Florida,12,7149300,82176
2022-10-26,Florida,12,7149300,82176
2022-10-27,Florida,12,7149300,82176
2022-10-28,Florida,12,7149300,82176
2022-10-29,Florida,12,7149300,82176
2022-10-30,Florida,12,7149300,82176
2022-10-31,Florida,12,7149300,82176
2022-11-01,Florida,12,7149300,82176
2022-11-02,Florida,12,7149300,82176
2022-11-03,Florida,12,7149300,82176
2022-11-04,Florida,12,7172457,82541
2022-11-05,Florida,12,7172457,82541
2022-11-06,Florida,12,7172457,82541
2022-11-07,Florida,12,7172457,82541
2022-11-08,Florida,12,7172457,82541
2022-11-09,Florida,12,7172457,82541
2022-11-10,Florida,12,7172457,82541
2022-11-11,Florida,12,7172457,82541
2022-11-12,Florida,12,7172457,82541
2022-11-13,Florida,12,7172457,82541
2022-11-14,Florida,12,7172457,82541
2022-11-15,Florida,12,7172457,82541
2022-11-16,Florida,12,7172457,82541
2022-11-17,Florida,12,7172457,82541
2022-11-18,Florida,12,7195943,82875
2022-11-19,Florida,12,7195943,82875
2022-11-20,Florida,12,7195943,82875
2022-11-21,Florida,12,7195943,82875
2022-11-22,Florida,12,7195943,82875
2022-11-23,Florida,12,7195943,82875
2022-11-24,Florida,12,7195943,82875
2022-11-25,Florida,12,7195943,82875
2022-11-26,Florida,12,7195943,82875
2022-11-27,Florida,12,7195943,82875
2022-11-28,Florida,12,7195943,82875
2022-11-29,Florida,12,7195943,82875
2022-11-30,Florida,12,7195943,82875
2022-12-01,Florida,12,7195943,82875
2022-12-02,Florida,12,7226875,83100
2022-12-03,Florida,12,7226875,83100
2022-12-04,Florida,12,7226875,83100
2022-12-05,Florida,12,7226875,83100
2022-12-06,Florida,12,7226875,83100
2022-12-07,Florida,12,7226875,83100
2022-12-08,Florida,12,7226875,83100
2022-12-09,Florida,12,7226875,83200
2022-12-10,Florida,12,7226875,83200
2022-12-11,Florida,12,7226875,83200
2022-12-12,Florida,12,7226875,83200
2022-12-13,Florida,12,7226875,83200
2022-12-14,Florida,12,7226875,83200
2022-12-15,Florida,12,7226875,83200
2022-12-16,Florida,12,7269428,83606
2022-12-17,Florida,12,7269428,83606
2022-12-18,Florida,12,7269428,83606
2022-12-19,Florida,12,7269428,83606
2022-12-20,Florida,12,7269428,83606
2022-12-21,Florida,12,7269428,83606
2022-12-22,Florida,12,7269428,83606
2022-12-23,Florida,12,7269428,83606
2022-12-24,Florida,12,7269428,83606
2022-12-25,Florida,12,7269428,83606
2022-12-26,Florida,12,7269428,83606
2022-12-27,Florida,12,7269428,83606
2022-12-28,Florida,12,7269428,83606
2022-12-29,Florida,12,7269428,83606
2022-12-30,Florida,12,7269428,83911
2022-12-31,Florida,12,7269428,83911
2023-01-01,Florida,12,7269428,83911
2023-01-02,Florida,12,7269428,83911
2023-01-03,Florida,12,7269428,83911
2023-01-04,Florida,12,7269428,83912
2023-01-05,Florida,12,7269428,83912
2023-01-06,Florida,12,7350177,84176
2023-01-07,Florida,12,7350177,84176
2023-01-08,Florida,12,7350177,84176
2023-01-09,Florida,12,7350177,84176
2023-01-10,Florida,12,7350177,84176
2023-01-11,Florida,12,7350177,84176
2023-01-12,Florida,12,7350177,84176
2023-01-13,Florida,12,7350177,84176
2023-01-14,Florida,12,7350177,84176
2023-01-15,Florida,12,7350177,84176
2023-01-16,Florida,12,7350177,84176
2023-01-17,Florida,12,7350177,84176
2023-01-18,Florida,12,7350177,84176
2023-01-19,Florida,12,7350177,84176
2023-01-20,Florida,12,7400419,84927
2023-01-21,Florida,12,7400419,84927
2023-01-22,Florida,12,7400419,84927
2023-01-23,Florida,12,7400419,84927
2023-01-24,Florida,12,7400419,84927
2023-01-25,Florida,12,7400419,84927
2023-01-26,Florida,12,7400419,84927
2023-01-27,Florida,12,7400419,84927
2023-01-28,Florida,12,7400419,84927
2023-01-29,Florida,12,7400419,84927
2023-01-30,Florida,12,7400419,84927
2023-01-31,Florida,12,7400419,84927
2023-02-01,Florida,12,7400419,84927
2023-02-02,Florida,12,7400419,84927
2023-02-03,Florida,12,7440322,85710
2023-02-04,Florida,12,7440322,85710
2023-02-05,Florida,12,7440322,85710
2023-02-06,Florida,12,7440322,85710
2023-02-07,Florida,12,7440322,85710
2023-02-08,Florida,12,7440322,85710
2023-02-09,Florida,12,7440322,85710
2023-02-10,Florida,12,7440322,85710
2023-02-11,Florida,12,7440322,85710
2023-02-12,Florida,12,7440322,85710
2023-02-13,Florida,12,7440322,85710
2023-02-14,Florida,12,7440322,85710
2023-02-15,Florida,12,7440322,85710
2023-02-16,Florida,12,7440322,85710
2023-02-17,Florida,12,7473371,86294
2023-02-18,Florida,12,7473371,86294
2023-02-19,Florida,12,7473371,86294
2023-02-20,Florida,12,7473371,86294
2023-02-21,Florida,12,7473371,86294
2023-02-22,Florida,12,7473371,86294
2023-02-23,Florida,12,7473371,86294
2023-02-24,Florida,12,7473371,86294
2023-02-25,Florida,12,7473371,86294
2023-02-26,Florida,12,7473371,86294
2023-02-27,Florida,12,7473371,86294
2023-02-28,Florida,12,7473371,86294
2023-03-01,Florida,12,7473371,86294
2023-03-02,Florida,12,7473371,86294
2023-03-03,Florida,12,7531055,86850
2023-03-04,Florida,12,7531055,86850
2023-03-05,Florida,12,7531055,86850
2023-03-06,Florida,12,7531055,86850
2023-03-07,Florida,12,7531055,86850
2023-03-08,Florida,12,7531055,86850
2023-03-09,Florida,12,7531055,86850
2023-03-10,Florida,12,7531055,86850
2023-03-11,Florida,12,7531055,86850
2023-03-12,Florida,12,7531055,86850
2023-03-13,Florida,12,7531055,86850
2023-03-14,Florida,12,7531055,86850
2023-03-15,Florida,12,7531055,86850
2023-03-16,Florida,12,7531055,86850
2023-03-17,Florida,12,7542869,87141
2023-03-18,Florida,12,7542869,87141
2023-03-19,Florida,12,7542869,87141
2023-03-20,Florida,12,7542869,87141
2023-03-21,Florida,12,7542869,87141
2023-03-22,Florida,12,7542869,87141
2023-03-23,Florida,12,7542869,87141
